run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,missing_keywords,missing_sections,error
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_simple_daily_report,L1,resolved,True,1.0,23703,11,45988,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_defect_list,L1,resolved,True,1.0,26076,11,53265,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_safety_protocol,L1,resolved,True,1.0,16863,11,44555,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_material_delivery_log,L1,resolved,True,1.0,22353,11,36025,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_weather_delay_report,L1,resolved,True,1.0,17941,11,49569,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_daily_workforce_report,L1,resolved,True,1.0,26814,11,48644,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_concrete_pour_protocol,L1,resolved,True,1.0,29645,11,50392,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L1_site_handover_note,L1,resolved,True,1.0,15358,11,43815,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_combined_defect_safety,L2,resolved,True,1.0,38009,11,62284,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_daily_with_supplements,L2,resolved,False,0.714,19013,11,53606,"Die Entsorgungskosten betragen ca. 280 EUR pro Tonne, geschaetzt 7.000 EUR netto;Der Baggermehraufwand wird auf 2 Tage extra geschaetzt (3.200 EUR)",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_multi_trade_inspection,L2,resolved,True,0.857,28668,11,48273,Koordination Elektro/Trockenbau wegen Deckenabhaengung erforderlich,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_subcontractor_coordination,L2,resolved,False,0.571,21051,11,56517,"Die Fassade haengt 2 Wochen hinter dem Plan wegen verzoegerter Sonderfenster aus Polen;Tiefbau Parkplatz (ErdBau AG, Frau Berger) ist naechste Woche fertig;Der Aufzugsschacht muss bis Ende April betonfertig sein (LiftPro, Herr Kim)",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_weekly_progress_summary,L2,resolved,True,0.857,23788,11,44418,Die Ursache ist eine verzoegerte Materiallieferung Bewehrung in KW 14,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_quality_audit_report,L2,resolved,True,1.0,22619,11,53178,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_rework_documentation,L2,resolved,False,0.625,29400,11,48893,"Rueckbaukosten betragen 5.400 EUR (12 EUR/m2);Neueinbaukosten betragen 17.100 EUR (38 EUR/m2, CT-C30-F5);Die Regalmontage verschiebt sich um 6 Wochen",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L2_site_meeting_minutes,L2,resolved,True,0.857,21135,11,57923,Die naechste Sitzung findet am 22.04 statt,,
